Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,148.95,152.17,145.0,145.03,144.79,93604600
2022-11-01,155.08,155.45,149.13,150.65,150.4,80379300
2022-10-31,153.16,154.24,151.92,153.34,153.09,97943200
2022-10-28,148.2,157.5,147.82,155.74,155.48,164762400
2022-10-27,148.07,149.05,144.13,144.8,144.56,109180200
2022-10-26,150.96,151.99,148.04,149.35,149.1,88194300
2022-10-25,150.09,152.49,149.36,152.34,152.09,74732300
2022-10-24,147.19,150.23,146.0,149.45,149.2,75981900
2022-10-21,142.87,147.85,142.65,147.27,147.03,86548600
2022-10-20,143.02,145.89,142.65,143.39,143.15,64522000
2022-10-19,141.69,144.95,141.5,143.86,143.62,61758300
2022-10-18,145.49,146.7,140.61,143.75,143.51,99136600
2022-10-17,141.07,142.9,140.27,142.41,142.17,85250900
2022-10-14,144.31,144.52,138.19,138.38,138.15,88598000
2022-10-13,134.99,143.59,134.37,142.99,142.75,113224000
2022-10-12,139.13,140.36,138.16,138.34,138.11,70433700
2022-10-11,139.9,141.35,138.22,138.98,138.75,77033700
2022-10-10,140.42,141.89,138.57,140.42,140.19,74899000
2022-10-07,142.54,143.1,139.45,140.09,139.86,85925600
2022-10-06,145.81,147.54,145.22,145.43,145.19,68402200
2022-10-05,144.07,147.38,143.01,146.4,146.16,79471000
2022-10-04,145.03,146.22,144.26,146.1,145.86,87830100
2022-10-03,138.21,143.07,137.69,142.45,142.21,114311700
2022-09-30,141.28,143.1,138.0,138.2,137.97,124925300
2022-09-29,146.1,146.72,140.68,142.48,142.24,128138200
2022-09-28,147.64,150.64,144.84,149.84,149.59,146691400
2022-09-27,152.74,154.72,149.95,151.76,151.51,84442700
2022-09-26,149.66,153.77,149.64,150.77,150.52,93339400
2022-09-23,151.19,151.47,148.56,150.43,150.18,96029900
2022-09-22,152.38,154.47,150.91,152.74,152.49,86652500
2022-09-21,157.34,158.74,153.6,153.72,153.47,101696800
2022-09-20,153.4,158.08,153.08,156.9,156.64,107689800
2022-09-19,149.31,154.56,149.1,154.48,154.22,81474200
2022-09-16,151.21,151.35,148.37,150.7,150.45,162278800
2022-09-15,154.65,155.24,151.38,152.37,152.12,90481100
2022-09-14,154.79,157.1,153.61,155.31,155.05,87965400
2022-09-13,159.9,160.54,153.37,153.84,153.59,122656600
2022-09-12,159.59,164.26,159.3,163.43,163.16,104956000
2022-09-09,155.47,157.82,154.75,157.37,157.11,68028800
2022-09-08,154.64,156.36,152.68,154.46,154.2,84923800
2022-09-07,154.82,156.67,153.61,155.96,155.7,87449600
2022-09-06,156.47,157.09,153.69,154.53,154.27,73714800
2022-09-02,159.75,160.36,154.97,155.81,155.55,76957800
2022-09-01,156.64,158.42,154.67,157.96,157.7,74229900
2022-08-31,160.31,160.58,157.14,157.22,156.96,87991100
2022-08-30,162.13,162.56,157.72,158.91,158.65,77906200
2022-08-29,161.15,162.9,159.82,161.38,161.11,73314000
2022-08-26,170.57,171.05,163.56,163.62,163.35,78961000
2022-08-25,168.78,170.14,168.35,170.03,169.75,51218200
2022-08-24,167.32,168.11,166.25,167.53,167.25,53841500
2022-08-23,167.08,168.71,166.65,167.23,166.95,54147100
2022-08-22,169.69,169.86,167.14,167.57,167.29,69026800
2022-08-19,173.03,173.74,171.31,171.52,171.24,70346300
2022-08-18,173.75,174.9,173.12,174.15,173.86,62290100
2022-08-17,172.77,176.15,172.57,174.55,174.26,79542000
2022-08-16,172.78,173.71,171.66,173.03,172.74,56377100
2022-08-15,171.52,173.39,171.35,173.19,172.9,54091700
2022-08-12,169.82,172.17,169.4,172.1,171.81,68039400
2022-08-11,170.06,170.99,168.19,168.49,168.21,57149200
